1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
35.000000,1.000000,-0.064570,-181.569000,-10.465124,-11.820780,-9.381600,-2746.850000,0.056024,92.314600,1.154820,1.229170,1.630920,218.508000
43.000000,1.000000,-0.315454,-438.676000,-12.299678,-17.009800,-8.601600,-2225.257000,0.053680,40.905200,0.673174,0.787149,0.913770,127.912000
45.000000,1.000000,-0.496513,-537.067000,-12.066004,-17.623600,-8.016910,-1651.605000,0.082414,51.675000,0.734583,0.868110,1.068840,93.489800
47.000000,1.000000,-0.753455,-559.096000,-11.804114,-17.615300,-7.401200,-1824.126000,0.037713,67.436700,0.909920,1.004490,1.440430,182.534000
49.000000,1.000000,-0.575056,-450.042000,-12.209611,-18.413900,-7.123800,-1717.842000,0.073554,69.521400,1.146550,1.176580,1.907750,161.195000
7.000000,3.000000,  nan,  nan,-4.506896,-4.154100,-4.362900,-1645.000000,  nan,  nan,0.987802,1.210880,1.121680,360.548000
9.000000,3.000000,  nan,  nan,-4.661726,-4.122900,-4.848400,-1701.540000,  nan,  nan,1.068140,1.285890,1.218400,389.869000
11.000000,3.000000,  nan,  nan,-4.843425,-5.271900,-4.723900,-1767.840000,  nan,  nan,1.127100,1.335090,1.199610,411.391000
13.000000,3.000000,-0.038636,  nan,-5.006530,-5.201200,-4.977600,-1827.390000,0.065397,  nan,1.172000,1.312990,1.345770,427.782000
15.000000,3.000000,-0.040327,  nan,-5.274862,-5.141500,-5.185400,-1925.320000,0.025180,  nan,1.177040,1.293870,1.305770,429.619000
17.000000,3.000000,-0.031765,  nan,-5.624897,  nan,  nan,-2053.080000,0.009051,  nan,1.214420,  nan,  nan,443.264000
19.000000,3.000000,-0.020796,  nan,-5.958645,  nan,  nan,-2174.900000,0.003532,  nan,1.271520,  nan,  nan,464.105000
21.000000,3.000000,-0.020527,  nan,  nan,  nan,  nan,  nan,0.000718,  nan,  nan,  nan,  nan,  nan
27.000000,3.000000,  nan,-15.400000,-7.299026,-6.356370,-7.640800,-2664.150000,  nan,64.021800,1.282140,1.243420,1.856970,467.980000
29.000000,3.000000,  nan,-31.400000,-7.839690,-7.078870,-8.225400,-2806.040000,  nan,64.106600,1.295410,1.271410,1.891730,408.587000
31.000000,3.000000,  nan,-38.400000,-8.504614,-8.222660,-8.791600,-2946.290000,  nan,62.459700,1.286940,1.286700,1.908570,405.003000
33.000000,3.000000,-0.072546,-113.199700,-9.222599,-9.678446,-9.053700,-3004.280000,0.002114,62.951200,1.208790,1.262030,1.762190,321.329000
35.000000,3.000000,-0.030784,-146.160000,-10.833936,-12.254570,-9.482900,-2568.290000,0.055376,89.765800,1.230730,1.311260,1.638850,223.110000
45.000000,3.000000,-0.426400,-495.891000,-12.286790,-17.975000,-7.591810,-1285.728000,0.071163,43.175900,0.721254,0.835941,1.009340,89.423900
47.000000,3.000000,-0.716441,-525.539000,-12.115748,-17.978500,-7.325960,-1412.917000,0.044273,55.574500,0.885975,0.976454,1.362510,117.696000
49.000000,3.000000,-0.742904,-498.775000,-12.285506,-18.571600,-7.014600,-1591.424000,0.042449,68.762400,1.114830,1.161070,1.828820,154.705000
51.000000,3.000000,-0.524505,-439.821000,-14.166251,-22.337200,-7.320500,-1692.157000,0.127185,73.183300,1.498960,1.557170,2.533800,213.072000
7.000000,5.000000,  nan,  nan,-4.608833,-4.315900,-4.683600,-1682.240000,  nan,  nan,1.043900,1.244120,1.221690,381.025000
9.000000,5.000000,  nan,  nan,-4.780681,-4.361000,-4.998200,-1744.950000,  nan,  nan,1.054110,1.326080,1.220280,384.752000
11.000000,5.000000,  nan,  nan,-4.983715,-5.374100,-4.839900,-1819.050000,  nan,  nan,1.105870,1.327670,1.197430,403.644000
13.000000,5.000000,  nan,  nan,-5.178247,-5.407800,-5.105400,-1890.050000,  nan,  nan,1.150590,1.319480,1.171570,419.967000
15.000000,5.000000,-0.045834,  nan,-5.401181,-5.316500,-5.302200,-1971.440000,0.026039,  nan,1.167600,1.292680,1.317510,426.175000
17.000000,5.000000,-0.037216,  nan,-5.668970,-5.310900,-5.647400,-2069.180000,0.007400,  nan,1.189670,1.264840,1.372200,434.230000
19.000000,5.000000,-0.027214,  nan,-5.917686,  nan,-5.928000,-2159.940000,0.001352,  nan,1.236390,  nan,1.601770,451.283000
21.000000,5.000000,  nan,  nan,-6.202742,  nan,  nan,-2264.010000,  nan,  nan,1.278770,  nan,  nan,466.750000
27.000000,5.000000,  nan,-19.300000,-7.400122,-6.576780,-7.695800,-2701.060000,  nan,65.644300,1.294570,1.290720,1.863250,472.518000
29.000000,5.000000,  nan,-26.400000,-7.780504,-7.124200,-8.052600,-2806.290000,  nan,63.198700,1.308040,1.289570,1.913030,412.248000
31.000000,5.000000,  nan,-32.100000,-8.320807,-8.149100,-8.450900,-2934.290000,  nan,61.722700,1.295330,1.277590,1.946100,408.962000
33.000000,5.000000,  nan,-83.800000,-8.816912,-9.246110,-8.700800,-2997.550000,  nan,66.411800,1.212350,1.211750,1.838760,357.107000
35.000000,5.000000,-0.084793,-145.648000,-10.243186,-11.571690,-9.052100,-2409.940000,0.018172,70.850000,1.197370,1.240680,1.682830,224.112000
45.000000,5.000000,-0.513344,-522.221000,-12.252190,-17.860100,-7.421940,-830.680100,0.079860,44.646600,0.712999,0.832422,0.978098,30.321000
47.000000,5.000000,-0.715025,-561.406000,-12.218297,-17.901700,-7.210300,-1466.971000,0.058381,51.998500,0.855875,0.950337,1.270280,110.580000
49.000000,5.000000,-0.736703,-577.623000,-12.163992,-17.993100,-6.850300,-1528.007000,0.123337,70.344900,1.068200,1.092120,1.690340,144.834000
51.000000,5.000000,-0.713293,-503.551000,-13.527568,-21.015000,-6.870500,-1594.421000,0.124109,74.336800,1.404100,1.472540,2.242270,189.451000
5.000000,7.000000,  nan,  nan,-4.241734,-4.201800,-4.215900,-1548.240000,  nan,  nan,1.003000,1.272990,1.095540,366.096000
7.000000,7.000000,  nan,  nan,-4.647944,-4.419700,-4.733300,-1696.510000,  nan,  nan,0.999790,1.254230,1.126930,364.923000
9.000000,7.000000,  nan,  nan,-4.986988,-4.529100,-5.070600,-1820.270000,  nan,  nan,1.069350,1.311020,1.207210,390.313000
11.000000,7.000000,  nan,  nan,-5.175629,-5.593000,-5.059600,-1889.110000,  nan,  nan,1.081640,1.306040,1.185770,394.797000
13.000000,7.000000,-0.054463,  nan,-5.348418,-5.620900,-5.162700,-1952.180000,0.067065,  nan,1.104210,1.309760,1.305680,403.038000
15.000000,7.000000,-0.050702,  nan,-5.551193,-5.498900,-5.474200,-2026.200000,0.022408,  nan,1.112760,1.272690,1.286910,406.158000
17.000000,7.000000,-0.033457,  nan,-5.777440,-5.399900,-5.768700,-2108.750000,0.005165,  nan,1.162810,1.256650,1.359000,424.424000
19.000000,7.000000,-0.023297,  nan,-6.005805,-5.363900,-6.105500,-2192.120000,0.000148,  nan,1.230770,1.270010,1.615680,449.229000
21.000000,7.000000,  nan,  nan,-6.189370,  nan,  nan,-2259.130000,  nan,  nan,1.267500,  nan,  nan,462.639000
23.000000,7.000000,  nan,  nan,-6.835262,  nan,  nan,-2494.860000,  nan,  nan,1.380600,  nan,  nan,503.919000
25.000000,7.000000,  nan,  nan,-7.209095,  nan,  nan,-2631.310000,  nan,  nan,1.368440,  nan,  nan,499.482000
27.000000,7.000000,  nan,-16.200000,-7.422468,-6.719630,  nan,-2709.210000,  nan,64.631500,1.311180,1.320460,  nan,478.582000
29.000000,7.000000,  nan,-21.500000,-7.716696,-7.265310,-7.818800,-2799.070000,  nan,62.542500,1.292800,1.295730,1.883400,438.739000
31.000000,7.000000,  nan,-32.600000,-8.259047,-8.387960,-8.031800,-2906.540000,  nan,62.149700,1.301500,1.308110,1.917940,409.601000
33.000000,7.000000,  nan,-68.700000,-8.732033,-9.529510,-8.110000,-3016.070000,  nan,64.416700,1.220560,1.235440,1.818120,383.393000
35.000000,7.000000,-0.036593,-129.036000,-10.030264,-11.455230,-8.492000,-2151.610000,0.035011,67.287700,1.194070,1.209930,1.659720,223.425000
45.000000,7.000000,-0.310098,-496.596000,-12.154163,-16.898100,-7.612400,-1945.012000,0.098994,50.624600,0.723741,0.799247,0.961481,135.699000
47.000000,7.000000,-0.571089,-567.119000,-12.338101,-17.664300,-7.435110,-1413.197000,0.124683,56.135900,0.829749,0.937256,1.209170,105.375000
49.000000,7.000000,-0.968301,-631.454000,-12.223015,-17.797700,-6.849600,-1635.803000,0.049801,74.258400,1.067720,1.077660,1.665250,172.861000
51.000000,7.000000,-0.782992,-534.866000,-13.445058,-20.575300,-6.818770,-1300.166000,0.136150,75.872600,1.391120,1.449180,2.171280,183.788000
53.000000,7.000000,-0.780810,-497.458000,-15.334312,-24.250700,-7.118800,-1507.382000,0.138957,94.905300,1.792470,1.866280,2.880810,243.499000
5.000000,9.000000,  nan,  nan,-4.387311,-4.398300,-4.271300,-1601.360000,  nan,  nan,1.006550,1.272270,1.085610,367.391000
7.000000,9.000000,  nan,  nan,-4.722171,-5.292500,-4.745500,-1723.580000,  nan,  nan,1.049280,1.377320,1.239340,382.987000
9.000000,9.000000,  nan,  nan,-5.128352,-5.652700,-5.168400,-1871.840000,  nan,  nan,1.072660,1.432250,1.245170,391.520000
11.000000,9.000000,  nan,  nan,-5.351264,-5.698200,-5.188700,-1953.210000,  nan,  nan,1.033020,1.277640,1.153230,377.054000
13.000000,9.000000,-0.062513,  nan,-5.551658,-5.860300,-5.331500,-2026.340000,0.056320,  nan,1.039490,1.262050,1.238550,379.413000
15.000000,9.000000,-0.047971,  nan,-5.731260,-5.665100,-5.640500,-2091.910000,0.015729,  nan,1.052680,1.239940,1.236950,384.227000
17.000000,9.000000,-0.027290,  nan,-5.966804,-5.552400,-5.926100,-2177.890000,0.004276,  nan,1.154790,1.283110,1.346640,421.499000
19.000000,9.000000,-0.018760,  nan,-6.156423,-5.518600,-6.258100,-2247.090000,0.003563,  nan,1.255060,1.338570,1.629510,458.096000
21.000000,9.000000,  nan,  nan,-6.214992,-5.466030,-6.248500,-2268.480000,  nan,  nan,1.270660,1.298250,1.638210,463.792000
23.000000,9.000000,  nan,  nan,-6.706651,  nan,  nan,-2447.930000,  nan,  nan,1.336040,  nan,  nan,487.653000
25.000000,9.000000,-0.028730,  nan,-7.054003,  nan,  nan,-2435.600000,0.002930,  nan,1.349050,  nan,  nan,420.909000
27.000000,9.000000,  nan,  nan,-7.317355,-6.794820,  nan,-2670.850000,  nan,  nan,1.304640,1.328900,  nan,476.193000
29.000000,9.000000,  nan,-30.300000,-7.640563,-7.448540,-7.458500,-2674.800000,  nan,63.859200,1.276590,1.307890,1.724690,399.940000
31.000000,9.000000,  nan,-50.100000,-8.092475,-8.554650,-7.652600,-2813.250000,  nan,64.899400,1.267810,1.301060,1.846680,397.555000
33.000000,9.000000,  nan,-107.500000,-8.592737,-10.157915,-7.766500,-2832.670000,  nan,63.498400,1.230390,1.283340,1.808700,357.707000
35.000000,9.000000,-0.071997,-159.263000,-9.730892,-12.211870,-7.488200,-3030.510000,0.028731,72.341700,1.200040,1.272730,1.658270,286.500000
37.000000,9.000000,-0.076496,-248.543000,-9.800567,-12.651670,-7.605000,-2991.220000,0.086130,79.180900,1.071640,1.133040,1.509660,260.693000
41.000000,9.000000,-0.185008,-306.014000,-10.950647,-14.861330,-7.476000,-2629.340000,0.053498,53.865700,0.865673,0.869029,1.313560,173.830000
45.000000,9.000000,-0.228600,-424.404000,-12.068452,-15.888500,-7.695900,-2034.180000,0.092922,49.470500,0.781795,0.743004,1.171530,155.012000
47.000000,9.000000,-0.139042,-552.285000,-12.663410,-17.805100,-7.745330,-447.400000,0.233931,64.459800,0.886671,1.004050,1.155360,0.000000
49.000000,9.000000,-1.127000,-645.298100,-12.417164,-17.842200,-7.022290,-1322.642000,0.013247,80.235000,1.102760,1.096810,1.716860,147.481000
51.000000,9.000000,-0.831378,-534.399000,-13.784688,-20.697600,-7.185170,-1374.792000,0.103994,78.729100,1.430590,1.473330,2.207240,187.337000
53.000000,9.000000,-0.540853,-433.685000,-16.149522,-24.474500,-8.510840,-1553.318000,0.174933,92.387700,1.848420,1.902260,2.984550,252.594000
-1.000000,11.000000,  nan,  nan,-3.977259,  nan,  nan,-1451.710000,  nan,  nan,1.016440,  nan,  nan,371.001000
1.000000,11.000000,  nan,  nan,-4.018747,-4.052000,-3.823200,-1466.850000,  nan,  nan,0.999978,1.249090,1.047510,364.992000
3.000000,11.000000,  nan,  nan,-4.188716,-4.279600,-4.301400,-1528.880000,  nan,  nan,1.009420,1.268000,1.073460,368.439000
5.000000,11.000000,  nan,  nan,-4.639588,-4.663800,-4.674200,-1693.470000,  nan,  nan,1.021500,1.283390,1.142750,372.846000
7.000000,11.000000,  nan,  nan,-5.161140,-5.484700,-4.964100,-1883.820000,  nan,  nan,1.052430,1.435620,1.208410,384.137000
9.000000,11.000000,  nan,  nan,-5.191573,-5.722000,-4.969900,-1894.910000,  nan,  nan,0.998552,1.388890,1.205470,364.471000
11.000000,11.000000,  nan,  nan,-5.343651,-5.673100,-5.075200,-1950.440000,  nan,  nan,0.915928,1.178960,1.063630,334.314000
13.000000,11.000000,-0.073800,  nan,-5.684362,-5.981700,-5.433800,-2074.800000,0.030569,  nan,0.944262,1.185670,1.138460,344.656000
15.000000,11.000000,-0.042079,  nan,-5.875485,-5.761800,-5.734100,-2144.550000,0.008381,  nan,1.032020,1.197830,1.228460,376.688000
17.000000,11.000000,-0.027760,  nan,-6.023088,-5.614500,-6.156300,-2198.420000,0.001788,  nan,1.142760,1.252900,1.494510,417.108000
19.000000,11.000000,  nan,  nan,-6.128714,-5.562000,-6.211100,-2237.000000,  nan,  nan,1.228030,1.312710,1.594910,448.231000
21.000000,11.000000,  nan,  nan,-6.175751,-5.530800,-6.168200,-2254.140000,  nan,  nan,1.253700,1.288820,1.619120,457.600000
23.000000,11.000000,  nan,  nan,-6.525259,  nan,  nan,-2381.720000,  nan,  nan,1.281410,  nan,  nan,467.714000
25.000000,11.000000,  nan,  nan,-6.833271,  nan,  nan,-2494.160000,  nan,  nan,1.304900,  nan,  nan,476.287000
27.000000,11.000000,  nan,-12.100000,-7.150634,-6.809320,-6.800300,-2603.510000,  nan,62.934300,1.293330,1.315080,1.691710,438.277000
29.000000,11.000000,  nan,-37.000000,-7.639729,-7.764940,-7.145700,-2624.190000,  nan,62.169200,1.277250,1.345650,1.648970,397.733000
31.000000,11.000000,  nan,-97.200000,-7.987460,-8.833490,-7.430900,-2702.110000,  nan,65.762200,1.244210,1.306860,1.776920,360.445000
33.000000,11.000000,-0.120284,-170.979240,-8.179051,-10.580700,-6.230200,-2813.670000,0.000773,65.468100,1.227320,1.214810,1.912190,361.801000
43.000000,11.000000,-0.608676,-573.239000,-12.088126,-17.324600,-7.496600,-2074.310000,0.025765,62.650600,0.797002,0.848404,1.214590,158.831000
45.000000,11.000000,-0.294062,-407.491000,-12.467451,-16.827900,-7.799000,-2120.137000,0.075603,50.386800,0.846836,0.830516,1.252040,164.425000
47.000000,11.000000,0.227910,-564.033000,-12.899663,-18.010700,-8.005046,-188.200000,0.300276,73.982800,0.961288,1.072930,1.162860,0.000000
49.000000,11.000000,-1.050798,-643.467000,-12.791268,-18.337700,-7.259900,-1472.984000,0.046711,86.203800,1.166160,1.170510,1.806310,154.717000
51.000000,11.000000,-0.411053,-482.000000,-14.516706,-21.545600,-7.819850,-1510.472000,0.088248,89.818400,1.480240,1.531550,2.285610,194.364000
-19.000000,13.000000,0.004708,  nan,-4.321530,-4.561730,-4.078900,-1577.350000,0.019374,  nan,1.017600,1.293040,1.139850,371.424000
-17.000000,13.000000,-0.004720,  nan,-4.344368,-4.380900,-3.977100,-1585.680000,0.044045,  nan,1.065870,1.393710,1.140810,389.041000
-15.000000,13.000000,  nan,  nan,-3.969112,-3.953300,-3.560700,-1448.710000,  nan,  nan,1.158770,1.536270,1.172230,422.951000
-13.000000,13.000000,-0.066238,  nan,-3.619525,-3.646100,  nan,-1321.130000,0.025353,  nan,1.131840,1.489400,  nan,413.120000
-1.000000,13.000000,  nan,  nan,-4.104140,-4.236700,  nan,-1497.990000,  nan,  nan,1.029980,1.330890,  nan,375.941000
1.000000,13.000000,  nan,  nan,-4.056201,-4.080600,-3.774500,-1480.520000,  nan,  nan,0.998722,1.244060,1.073700,364.534000
3.000000,13.000000,  nan,  nan,-4.319158,-4.364100,-4.098800,-1576.510000,  nan,  nan,1.003620,1.281510,1.079870,366.320000
5.000000,13.000000,  nan,  nan,-4.751189,-4.771300,-4.695500,-1734.200000,  nan,  nan,1.029840,1.286860,1.174130,375.891000
7.000000,13.000000,  nan,  nan,-5.174504,-5.679800,-5.240100,-1888.690000,  nan,  nan,1.075930,1.491190,1.220940,392.715000
9.000000,13.000000,  nan,  nan,-5.318505,-5.809900,-5.116200,-1941.260000,  nan,  nan,0.972260,1.310860,1.181400,354.875000
11.000000,13.000000,-0.079392,  nan,-5.514047,-5.845100,-5.211500,-2012.640000,0.079801,  nan,0.839107,1.109110,1.006710,306.274000
13.000000,13.000000,-0.070440,  nan,-5.773188,-6.040300,-5.543900,-2107.200000,0.027778,  nan,0.914877,1.152990,1.127950,333.930000
15.000000,13.000000,-0.039279,  nan,-5.932664,-5.888800,-5.747000,-2165.400000,0.007110,  nan,1.031270,1.213260,1.231830,376.412000
17.000000,13.000000,-0.027533,  nan,-6.076853,-5.784600,-6.183900,-2218.040000,0.001494,  nan,1.145530,1.277090,1.498620,418.120000
19.000000,13.000000,  nan,  nan,-6.167940,-5.743900,-6.202600,-2251.300000,  nan,  nan,1.218010,1.305130,1.585280,444.573000
21.000000,13.000000,  nan,  nan,-6.220496,-5.728230,-6.143500,-2270.490000,  nan,  nan,1.248120,1.292060,1.606910,455.563000
23.000000,13.000000,  nan,  nan,-6.490056,  nan,  nan,-2368.880000,  nan,  nan,1.276960,  nan,  nan,466.092000
25.000000,13.000000,  nan,  nan,-6.748378,  nan,  nan,-2463.160000,  nan,  nan,1.295250,  nan,  nan,472.766000
27.000000,13.000000,  nan,-8.000000,-7.053448,-6.738010,-6.736200,-2574.490000,  nan,61.953100,1.294340,1.275630,1.715850,472.435000
29.000000,13.000000,  nan,-31.900000,-7.512993,-7.622590,-6.941100,-2608.840000,  nan,62.063400,1.279740,1.291080,1.675560,401.754000
31.000000,13.000000,  nan,-100.000000,-7.902512,-8.900110,-6.999400,-2725.690000,  nan,65.384900,1.267150,1.289370,1.853640,397.445000
43.000000,13.000000,-0.345598,-495.344000,-12.609393,-18.224600,-7.918400,-2501.550000,0.065798,57.048100,0.816924,0.884159,1.245860,161.129000
47.000000,13.000000,0.128505,-498.098000,-13.364424,-19.379200,-7.892620,-873.100000,0.241186,73.822400,1.050300,1.212550,1.388660,0.000000
49.000000,13.000000,-0.577535,-512.032000,-13.349030,-19.086200,-7.615550,-1343.923000,0.148785,76.293100,1.241240,1.255040,1.914540,163.869000
51.000000,13.000000,-0.855754,-507.708400,-15.636024,-22.577700,-9.043610,-1614.147000,0.044166,89.747200,1.572150,1.561230,2.576520,217.548000
-25.000000,15.000000,0.011137,  nan,-4.272332,-4.953600,-3.814000,-1559.420000,0.003736,  nan,0.773601,1.015870,1.235000,282.364000
-23.000000,15.000000,0.012337,  nan,-4.594562,-5.003000,-4.245400,-1677.000000,0.003985,  nan,0.810975,1.120410,0.986910,296.006000
-21.000000,15.000000,0.022336,  nan,-4.916290,-5.082200,-4.851200,-1794.460000,0.018985,  nan,0.920836,1.268280,1.105740,336.105000
-19.000000,15.000000,0.035791,  nan,-4.933890,-4.887200,-5.015100,-1800.860000,0.032855,  nan,0.996017,1.334820,1.178330,363.546000
-17.000000,15.000000,  nan,  nan,-4.678382,-4.494400,-5.193300,-1707.610000,  nan,  nan,1.089010,1.436490,1.195980,397.488000
-15.000000,15.000000,  nan,  nan,-4.367585,-4.108500,-5.249900,-1594.150000,  nan,  nan,1.170910,1.530640,1.235830,427.382000
-13.000000,15.000000,  nan,  nan,-4.157605,-3.985500,-4.361800,-1517.530000,  nan,  nan,1.134230,1.471480,1.217710,413.994000
-11.000000,15.000000,  nan,  nan,-3.833597,-3.911500,  nan,-1399.280000,  nan,  nan,1.119410,1.471210,  nan,408.586000
-9.000000,15.000000,  nan,  nan,-3.769130,  nan,  nan,-1375.720000,  nan,  nan,1.102590,  nan,  nan,402.446000
-7.000000,15.000000,  nan,  nan,  nan,-4.156600,  nan,  nan,  nan,  nan,  nan,1.496740,  nan,  nan
-5.000000,15.000000,  nan,  nan,-3.799164,-3.898700,  nan,-1386.690000,  nan,  nan,1.055310,1.366460,  nan,385.187000
-3.000000,15.000000,  nan,  nan,-3.869003,-3.939800,  nan,-1412.180000,  nan,  nan,1.021570,1.317970,  nan,372.872000
-1.000000,15.000000,  nan,  nan,-3.999371,-4.086100,  nan,-1459.770000,  nan,  nan,1.002250,1.288900,  nan,365.821000
1.000000,15.000000,  nan,  nan,-4.030901,-4.046800,-3.739000,-1471.290000,  nan,  nan,0.999318,1.234550,1.078180,364.751000
3.000000,15.000000,  nan,  nan,-4.306944,-4.427700,-3.964200,-1572.040000,  nan,  nan,1.005410,1.295650,1.087730,366.974000
5.000000,15.000000,  nan,  nan,-4.711712,-4.767600,-4.620600,-1719.790000,  nan,  nan,1.034980,1.294750,1.165560,377.769000
7.000000,15.000000,  nan,  nan,-5.082845,  nan,-5.115500,-1855.230000,  nan,  nan,1.089990,  nan,1.343970,397.845000
9.000000,15.000000,  nan,  nan,-5.241300,-5.730900,-5.052800,-1913.070000,  nan,  nan,1.042130,1.398610,1.218750,380.378000
11.000000,15.000000,-0.072099,  nan,-5.489526,-5.811400,-5.177000,-2003.680000,0.078239,  nan,0.948641,1.161390,1.072670,346.254000
13.000000,15.000000,-0.064173,  nan,-5.786834,-6.063300,-5.569000,-2112.180000,0.024797,  nan,0.978906,1.189800,1.184660,357.301000
15.000000,15.000000,-0.039609,  nan,-5.906015,-5.956100,-5.658300,-2155.700000,0.007273,  nan,1.063410,1.257500,1.244640,388.146000
17.000000,15.000000,-0.029655,  nan,-6.034862,-5.908400,-6.000800,-2202.720000,0.000814,  nan,1.161760,1.314710,1.307320,424.044000
19.000000,15.000000,  nan,  nan,-6.198496,-5.935200,-6.185200,-2262.440000,  nan,  nan,1.228630,1.326240,1.572160,448.449000
21.000000,15.000000,  nan,  nan,-6.387589,-6.036540,-6.261700,-2331.450000,  nan,  nan,1.265200,1.325850,1.597620,461.798000
23.000000,15.000000,  nan,  nan,-6.499581,  nan,  nan,-2372.360000,  nan,  nan,1.283620,  nan,  nan,468.520000
25.000000,15.000000,  nan,  nan,-6.706885,  nan,  nan,-2448.030000,  nan,  nan,1.292850,  nan,  nan,471.890000
27.000000,15.000000,  nan,-10.600000,-6.996388,-6.684850,-6.714900,-2535.550000,  nan,61.977500,1.286650,1.228500,1.725670,438.254000
29.000000,15.000000,  nan,-36.200000,-7.389889,-7.450130,-6.743900,-2589.280000,  nan,61.760900,1.292920,1.242040,1.731780,409.106000
31.000000,15.000000,  nan,-104.700000,-7.667908,-8.654700,-7.392500,-2769.180000,  nan,65.773700,1.260030,1.179810,1.984810,430.185000
41.000000,15.000000,-0.246010,-351.708000,-12.076060,-17.651000,-8.050900,-2327.617000,0.040480,51.512500,0.842391,0.966575,1.259450,162.213000
